lang,text,nco_2015
en,"Anthropologist, Physical",2632.0800
en,"Thread Cutting Machine Operator, Stoneware",8112.1100
en,"Draughtperson, Electrical",3118.0300
en,"Dieticians and Nutritionists, Other",2265.9900
en,"Wood, Turner Hand",7523.0300
ta,தொழிலாளர் நல அதிகாரி,2635.0100
hi,केले का किसान,6111.0901
hi,सहायक इंजीनियर,2511.0106
en,Radio Technician (Radio Manufacturing),7422.1400
hi,"निरंतर अभी भी प्रचालक, पेट्रोलियम",3134.0100
en,Warehouse Picker,4321.0601
hi,"अपशिष्ट प्रबंधन अभियंता, रेडियोधर्मी सामग्री",2143.0400
hi,"नेविगेटर, विमान",3153.0800
ta,"புகைப்படக் கலைஞர்கள், பிற",3431.9900
en,"Director, Mines",1120.1400
en,"Boiler, Attendant",8182.0200
hi,"माल पर्यवेक्षक, रेलवे",1324.1300
hi,"फिट, लोको",7233.2400
hi,मिश्रण मशीन परिचर,7512.0200
hi,खराद मशीनिस्ट,7223.0701
hi,मैग्मैन,8160.4100
hi,"यात्री गाइड, रेलवे",5112.0800
ta,முன்மாதிரி மேலாளர்,2144.0804
hi,"दर निरीक्षक, रेलवे",1324.1700
en,"Telecommunication Engineers, Other",2153.9900
en,Floriculturist – (Protected Cultivation),6113.0602
ta,"உளவியலாளர், கல்வி",2634.0400
en,Lift Truck Operator,8344.0100
ta,"இயக்குனர், க்வாரி",1120.1500
en,Auctioneer,3339.0300
en,"Botanist, General",2131.0400
en,"Second Officer, Ship",3152.0300
hi,प्रक्रिया-परीक्षण इंजीनियर,2144.0102
ta,காலெண்டர் ரப்பர் செய்யப்பட்ட துணி/ஆபரேட்டர் டெக்ஸ்டைல் பூச்சு,8141.1301
ta,கேப்பிங் மெஷின் ஆபரேட்டர்,8212.1904
en,"Assembler, Hand",7536.2200
ta,"பொது மேலாளர், போக்குவரத்து",1324.2100
ta,கார் ஆபரேட்டர் ஃபெரோ உலோகக்கலவைகள்,8342.2201
hi,"विशेषज्ञ चिकित्सा व्यवसायी, अन्य",2212.9900
ta,லினோ ஆபரேட்டர்,7322.0200
ta,தானியங்கி தெளிப்பு ஓவியர் உதவியாளர்/ஓவியர்,7132.0205
hi,"गार्ड, गुड्स ट्रेन",5112.0200
en,"Traditional Medicine Practitioners, Other",2230.9900
hi,"कार्बोनाइज़र, कपड़ा",8154.0700
hi,प्रणाली प्रशासन सहायक/कनिष्ठ प्रणाली प्रशासक,3513.0100
ta,உதவியாளர் மேசன்,9313.0301
ta,"இயந்திர விமான இயந்திரம், கள சேவை/கோப்பு இயந்திர விமானம்",7232.0500
ta,மின்மாற்றி,8122.0100
hi,"क्लर्क, लागत लेखांकन",4311.0600
en,Cleaner Hospital,9112.0200
hi,चिरोपोडिस्ट,2264.0300
en,Dressmaker/Ladies Dressmaker,7531.0200
en,Soap Machine Attendant,8131.8400
hi,सिगरेट बनाने वाली मशीन ऑपरेटर,8160.8800
ta,"மேற்பார்வையாளர் மற்றும் ஃபோர்மேன், உலோக வரைதல் மற்றும் பிரித்தெடுத்தல்",3122.0500
ta,காபி தோட்டத் தொழிலாளி,6112.0601
en,Battery Assembler,8212.0100
ta,"மரம் மற்றும் புதர் பயிர் சாகுபடி செய்பவர்கள், பிற",6112.9900
en,"Pre-Primary Education Teaching Associate Professionals, Other",2342.9900
ta,"இயந்திரப் பொறியாளர், உற்பத்தி",2144.0401
en,Sole Rounding Machine Operator,8156.0500
hi,धातु सेटर,7313.0802
en,"Broadcasting and Audiovisual Technicians, Other",3521.9900
en,Belt Conveyor Maintenance,7233.0401
ta,"இயக்குநர், சில்லறை வர்த்தகம்",1120.2200
ta,பயண ஆலோசகர்கள் மற்றும் அமைப்பாளர்கள்,4221.0100
en,Beautician,5142.0100
en,Gemstone Thread Maker,7313.0202
ta,முன்-அசெம்பிளி ஆபரேட்டர்,8156.2501
en,Juice Heater Man,8160.4700
en,"Driver, Car",8322.0100
ta,"எண்ணெய் மற்றும் கிரீசர், நிலையான இயந்திரம் மற்றும் இயந்திரங்கள்",3131.0700
ta,சிகார் அல்லது செரூட் உருளை,7516.0500
en,"Timekeeper, Motor Transport",4110.0600
ta,மரச் சறுக்கல் இயந்திர இயக்குபவர்,8172.1000
hi,"मेटल व्हील ग्राइंडर, पॉलिशिंग और टूल शार्पनर, अन्य",7224.9900
en,"Laboratory Assistant, Chemical",3111.0300
hi,वेब डेवलपर,2513.0101
hi,चाय बनाने वाला,8160.5700
ta,தொலைக்காட்சி சேசிஸ் இன்ஸ்பெக்டர்/தொலைக்காட்சி தொழில்நுட்ப வல்லுநர்,3114.0200
en,"Optician, General",3254.0100
ta,சிஸ்டம்ஸ் டிசைனர் (பிசிபி டிசைன்),2151.0602
en,Batching and Mixing Plant Operator (Construction),8114.0200
ta,பிரிவு அதிகாரி,3341.0800
ta,சோதனை பொறியாளர் தயாரிப்பு/வாகனம்,3115.0202
en,Coil Packaging Machine Operator Rolling Mills,3135.2003
hi,स्टिंगी सिगरेट स्लिटिंग मशीन ऑपरेटर,8160.8900
hi,"क्रेन चालक, हथौड़ा सिर",8343.1000
hi,लकड़ी का कटर,6210.1100
ta,விமானக் காவலர்,5111.0400
ta,"உருளை, தங்கம் மற்றும் வெள்ளி",7313.0100
hi,"रसायन इंजीनियर और प्रौद्योगिकीविद्, अन्य",2145.9900
ta,வெளியேற்ற விசிறி ஆபரேட்டர்,3132.1100
hi,चमड़ा मापने वाली मशीन मैन/मापने वाली मशीन ऑपरेटर,8155.1200
ta,"கடை மற்றும் சந்தை விற்பனையாளர்கள், பிற",5211.9900
ta,"ஒளிப்பதிவாளர், அனிமேஷன்",3521.0300
ta,"இயந்திர நிபுணர், கை அச்சிடுதல்",7322.1800
ta,திரைப்பட ஒளிப்பதிவாளர்,3521.0200
hi,"पर्यवेक्षक और फोरमैन, खनिज उपचार",3121.0300
hi,एनेस्थेटिस्ट,2211.0400
ta,"நீதிபதி, கீழ்நிலை நீதிமன்றம்",2612.0500
ta,நர்சரிமேன்,6113.0200
hi,"नॉटर, सिल्क",7318.4900
en,Automobile Designer,2144.0800
ta,"சாகுபடி செய்பவர், பொது",6111.0100
en,"Core Analyst, Petrol and Natural Gas",3116.0400
hi,कवि।,2641.0500
ta,"கழிவுநீர், கூடாரம் (கை)",7533.0700
en,Magmaman,8160.4100
hi,बिक्री कार्यकारी (मीडिया संगठन),2431.0651
en,Technician Instrumentation,7311.0101
hi,मॉर्टिजर ऑपरेटर,7523.1000
ta,"வெட்டு, விலங்கு, பிற/வெட்டு, பிற விலங்குகள்",6121.1300
en,Texturing Artist,2166.0204
hi,स्प्लिसर (रस्सी और केबल),7215.0300
en,"Electrical Engineer, General",2151.0100
hi,उत्कीर्णक,7313.1900
en,"Teacher for Differently-Abled, Other",2352.9900
en,"Surveyor, Tidal",3112.0600
ta,"ஆவியாக்கி இயக்குபவர், சர்க்கரை",8160.3700
en,Industrial Engineer,2141.0300
en,Functional Tester – Medical Devices,7543.0901
hi,ऑपरेशन थिएटर तकनीशियन,3212.0101
hi,"अपोल्स्टर, ऑर्थोपेडिक उपकरण",7534.0200
hi,"कास्टिकमैन, पेपर पल्प/कास्टिसाइजिंग ऑपरेटर",8171.0800
hi,सौर फोटो वोल्टाइक प्रणाली स्थापना तकनीशियन,7421.1402
hi,मुद्रण मशीन प्रचालक (प्लास्टिक),8142.1100
ta,தரைவிரிப்பு பழுதுபார்க்கும் இயந்திரம்,7318.6200
en,"Manager, Water Supply",1321.0400
ta,ரீலிங் இயந்திர ஆபரேட்டர்,8122.3000
en,Mixing Machineman Attendant (Chemical),8131.0400
en,"Machineman, Hand Printing",7322.1800
ta,"நடத்துனர் காவலர், ரயில்வே",5112.0400
hi,जूस हीटर मैन,8160.4700
en,Quality Control Inspector – Visual Inspection,7543.3005
ta,பித்தளை இசைக்கருவிகள் தொகுப்பாளர்,7312.1700
ta,புகைப்படத் திரைப்படம் மற்றும் காகிதத் தயாரிப்பாளர்,8132.0900
ta,"அமிலத் தொழிலாளி, பிறர்",8131.8100
hi,"प्रयोगशाला सहायक, मिट्टी",3111.0200
ta,சிசிடிவி மேற்பார்வையாளர்,5414.0121
en,Territory Sales Manager (Broadband),1221.0401
en,Process Design Engineer,2144.0101
hi,"फूल निर्माता, कागज",8143.0400
en,Photographic Dark Room Operatives,8132.0600
hi,पेट्रोलियम और प्राकृतिक गैस निष्कर्षण तकनीशियन,3117.0200
en,"General Manager, Wholesale Trade/Senior Manager, Wholesale Trade",1420.0400
en,Shot Blaster,8122.6200
ta,மேலாளர்-தயாரிப்பு வாழ்க்கைச் சுழற்சி மேலாண்மை,2144.0106
ta,டிரில்லர் மரம்,7523.1300
en,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",1120.1700
en,Convertor Man/Convertor Blower Technician,3135.0700
en,Gear Cutter,7223.1300
hi,सोल्डरिंग और ब्रेजिंग ऑपरेटर,7212.0501
ta,பெல்ட் தயாரிப்பாளர்,7536.2600
hi,"बढ़ई और जॉइनर्स ऑपरेटिव, अन्य",7115.9900
en,Yard Officer,6224.0800
ta,"பணியாளர் மற்றும் தொழில்துறை உறவுகள் மேலாளர்கள், பிறர்",1212.9900
en,Edger (Optical glass),7315.1300
hi,"प्रबंधक, स्वास्थ्य क्लब/प्रबंधक, फिटनेस क्लब/केंद्र/जिम",1219.0200
hi,भंडारण सहायक,4321.0104
en,Tool Makers and Related Workers,7222
ta,"ஓவியர், கட்டிடம்",7131.0100
hi,कीटविज्ञानी,2131.1000
hi,"दबाऊ यंत्र, हाथ",9121.0600
hi,रिग माउटेड ड्रिल ऑपरेटर,8111.0401
en,"Executive Officials, Union Government",1112.0300
en,Purchase Executive – Solar,3323.0501
ta,"மேலாளர், சில்லறை வர்த்தகம்",1420.0200
en,Publicity Assistant,4419.0100
en,Gill Box Man,7318.3500
en,"Pasteuriser, Brewery",8160.7500
hi,"स्प्लिटर, मशीन/स्प्लिटिंग मशीन ऑपरेटर को छुपाएँ",8155.0500
hi,तनाव विश्लेषक/कंप्यूटर-एडेड टेस्ट एग्जीक्यूटिव,2152.0301
hi,"महाप्रबंधक, संचार",1330.0600
en,"Supervisor and Foreman, Mining and Quarrying",3121.0100
en,"University and College Teacher, Fine Arts/Professors/Assistant Professors, Fine Arts",2310.1200
hi,"लाइब्रेरियन और संबंधित सूचना पेशेवर, अन्य",2622.9900
hi,"फायरमैन, लोकोमोटिव",8182.0800
hi,बटन सिलाई मशीन प्रचालक,8153.0400
hi,"ड्रम मेकर, संगीत",7312.1400
ta,பிரேக்கர் டெண்டர்,3131.0900
ta,"வடிவம் குறிப்பானை, உலோக அடித்தளத்தை",7222.0800
hi,स्पीडर मशीन ऑपरेटर (अपघर्षक चक्र),8122.7000
ta,"கிளார்க், விசாரணை",4110.0200
en,"Retoucher, Photographic",8132.0500
ta,"பொது மேலாளர், காப்பீடு",1211.0200
ta,பைப் தயாரிப்பாளர்,7312.1600
hi,टैटू कलाकार,3435.0100
en,Glazier (Construction),7125.0100
hi,"सर्कस कलाकार, अन्य",2659.0500
en,"Crane and Hoist Operators, Other",8343.1600
ta,நெல் விவசாயி,6111.0101
ta,தொகுதி கலவை (கண்ணாடி),8181.2100
en,"Child Care Workers, Other",5311.9900
en,Flour Mill Operator,8160.1000
en,Service Engineer – Installation,2144.1401
ta,"வூட் டர்னர், மெஷின்",7523.0200
hi,"कोर मेकर, मोल्डिंग (हाथ)",7211.0500
ta,நீர்த்தேக்க பராமரிப்பாளர்,3132.0200
ta,தொகுதி மனிதர்/அளவீட்டு தொழில்நுட்ப வல்லுநர்,7316.0400
en,"Decorators and Commercial Designers, Other",3432.9900
hi,विंचमैन,8343.1100
hi,निजी सचिव,4120.0100
ta,ஃபிட்டர்-மெக்கானிக்கல் அசெம்பிளி,8211.1202
hi,जीवाणुविज्ञानी,2131.1200
ta,இயக்குபவர்-வழக்கமான மேற்பரப்பு அரைக்கும் இயந்திரங்கள்,7224.0402
en,Loader/Loading and Unloading Operator,9333.0101
en,Plastic Fabricator,8142.1600
en,"Carpenter, Village",7115.0400
hi,पॉटर (पॉटरी और चीनी मिट्टी के बर्तन)/पॉटर व्हील ऑपरेटर,7314.0900
ta,ருடர்மேன்,8350.0700
hi,"क्लर्क, पूछताछ",4110.0200
hi,"चिकित्सक, ऑस्टियोपैथिक",2269.0200
en,Boiling In-Charge,7313.2501
ta,"பூச்சு, குணப்படுத்துதல் மற்றும் குறிக்கும் ஆபரேட்டர்",8212.1804
en,Gatherer Lac,6210.0500
ta,அமைப்புப் பொறியாளர்,2144.1301
en,"University and College Teacher, Medicine and Surgery/Professors/Assistant Professors, Medicine and Surgery",2310.0900
en,Picker (Tobacco),9211.0300
hi,आम ग्रो,6111.1001
ta,"துணை ஆய்வாளர், காவல்துறை",3355.0200
en,Garment Cutter (CAM),7532.0901
en,Cooker Operator,8160.1600
ta,தொலைக்காட்சி ஒலிபரப்பு நிலைய ஆபரேட்டர்,3521.0700
ta,"உணவக மேலாளர்கள், பிறர்",1412.9900
en,Radiologist,2212.0600
en,Diamond Bagger and Flueter,9321.1103
hi,बूट पॉलिशर,9510.0100
hi,प्रोथोनोटरी और सीनियर मास्टर,2619.0100
en,Sorter,9329.0600
hi,"शॉटफायर और ब्लास्टर्स, अन्य",7542.9900
en,Embedded Software Engineer,2512.0501
ta,வணிக மேலாளர் (மண்டல/பிராந்திய),5249.0201
en,"Transport Equipment Operators and Drivers, Other",9331.0600
hi,"एनियलर, धातु",8121.4700
ta,"விகிதங்கள் ஆய்வாளர், ரயில்வே",1324.1700
en,Silicone Painting Operator,8212.1902
ta,"மோல்டர், செங்குத்து குழாய்",7211.0300
ta,"அச்சகன், இயந்திரம்/சலவைச் செயலி",8157.0400
ta,துடுப்புப் பொறியாளர்/துடுப்புப் பாய்ச்சல் மேங்கிள் ஆபரேட்டர்,8154.2300
hi,भाषा अनुवादक-सॉफ्टवेयर उत्पाद,2643.0401
en,Cane Cutter,6210.0800
en,"Manager, Horticulture Farm",1311.1200
en,Service Advisor,3322.2502
en,"Supervisor and Foreman, Photolitho, Photo Engraving and Dark Room Operations",3122.6600
en,Buyer,3323.0100
hi,स्पिन मास्टर,2141.1400
ta,தலைக்கு மேல் கிரேன் ஆபரேட்டர்,8343.0700
en,Hoist Operator,8343.1200
en,"Fitter, Railway Carriage and Wagon",7233.2300
ta,"வழிசெலுத்தியை சரிபார்க்கவும், விமானங்கள்",3153.0700
ta,புகைப்பட இருண்ட அறை செயல்பாடுகள்,8132.0600
en,"Cashier, General",4211.0100
ta,"ஒளியியல் பரிசோதகர், ஆம்பௌல்ஸ்",8131.7600
ta,"ரீடச்சர், லித்தோகிராஃபிக்",7321.0900
ta,எடை அதிகம்,9321.1101
en,"Mechanic, Sewing Machine",7233.1800
hi,"जोड़, कांच की चूड़ियाँ",7315.2100
ta,ஒவ்வாமை நிபுணர்,2212.0300
en,Jig Borer,7222.0400
ta,வயரிங் இன்ஸ்பெக்டர் மற்றும் வங்கி சோதனையாளர் (தொலைபேசி உபகரணங்கள் உற்பத்தி),7419.0300
ta,"மேற்பார்வையாளர் மற்றும் தலைமை அதிகாரி, சுரங்கம் மற்றும் சுரங்கம் தோண்டுதல்",3121.0100
ta,"ஸ்ப்ரெடர் ஃபீடர், சணல்",7318.3600
en,"Surveyor, Mine",2165.0500
ta,"பாடி பில்டர், ஆட்டோமொபைல்",7522.0600
en,"General Manager, Quarry",1322.0500
en,"Pipe Machineman, Stoneware",8112.1000
hi,मशीन प्रचालक दबाएँ,8212.1806
hi,सहायक-पुर्जे बनाना (चमड़ा सामान और कपड़े),8153.0702
hi,"कंडक्टर, ट्राम",5112.0900
hi,मधुमक्खी पालन करने वाला,6123.0101
hi,"दर्शक, कार्यशाला",7311.0500
hi,"फर्श परतें और टाइल सेटर, अन्य",7122.9900
ta,மெழுகு மாதிரி மேற்பார்வையாளர்,3122.6501
ta,"கான்கிரீட் பிளாஸர்கள், கான்கிரீட் ஃபினிஷர்கள் மற்றும் தொடர்புடைய தொழிலாளர்கள், பிற",7114.9900
en,Pantry Man,5120.0600
en,"Basketry Weavers, Brush Makers and Related Workers, Other",7317.9900
ta,மசாலா தயாரிப்பாளர் (உணவு கேனிங் மற்றும் பாதுகாப்பு),7514.0800
ta,"ஆய்வக உதவியாளர், மருத்துவம்",2240.0100
hi,"प्राथमिक विद्यालय के शिक्षक, अन्य",2341.9900
ta,ஸ்டண்ட்மேன்,3435.0200
hi,चरित्र डिजाइनर,2166.0206
ta,பால் பதப்படுத்தும் உபகரணங்கள் இயக்குபவர்,8160.0500
hi,"यार्ड फोरमैन, रेलवे",3115.1500
ta,மின்சார மோட்டார் விண்டர்,8212.0500
hi,वितरक (लेटर प्रेस),7321.0300
en,Agriculture Extension Executive,6116.0101
ta,"உமிழ்நீர், மரம்",7521.0200
ta,"எழுத்தாளர்கள், பத்திரிகையாளர்கள் மற்றும் பிற எழுத்தாளர்கள்",2641.9900
en,"Station Officer, Overseas Communication",3521.1100
en,"Flight Operation Officer, Air Service",1324.1000
hi,"पर्यवेक्षक, वायरलेस",3341.0600
hi,"अंतर्देशीय और तटीय जल मत्स्य पालन श्रमिक, अन्य",6222.9900
hi,"बुनाई, हाथ",7318.6600
hi,"अग्रिम पैटर्न निर्माता, वस्त्र (सीएडी/सीएएम)",7532.0902
hi,"सीवर और कढ़ाई, अन्य",8153.9900
hi,सॉफ्टवेयर डेवलपर-अनुप्रयोग विकास,2512.0204
hi,क्षेत्रीय विक्रेता विकास प्रबंधक/नेटवर्क विस्तार प्रबंधक,3322.1601
ta,ஃபிட்டர்ஃ ஹைட்ராலிக் மற்றும் நியூமேடிக் சிஸ்டம்,7233.2901
hi,फिंगरप्रिंट विशेषज्ञ,3119.0300
ta,எல்இடி ஒளி வடிவமைப்பு பொறியாளர்,2151.0403
en,Flight Steward,5111.0400
en,"Clerk, Enquiry",4110.0200
ta,ஆர்டர் செயலி,5223.0101
ta,வெல்டிங் டெக்னீஷியன்,7212.0302
hi,"रबर और रबरयुक्त उत्पाद निर्माता, अन्य",8141.9900
hi,"रूट कटर, जूट",7318.2100
en,Safety Testing Technician – TV,7543.1003
ta,கம்பள எம்பாஸர்,7318.6100
ta,மேலாண்மைப் பயிற்சியாளர்-தயாரிப்பு சந்தைப்படுத்தல்,2431.0504
ta,"தோட்டக்காரர், ஜெனரல்",6113.0301
hi,"उपकरण निर्माता, अन्य",7311.1400
hi,"ज्योतिषी, भविष्य के जानकार और संबंधित कार्यकर्ता, अन्य",5161.9900
hi,तकनीकी लेखक-अनुप्रयोग विकास,2641.0902
hi,"इंस्पेक्टर, पुलिस",3355.0100
ta,"பேக்கர்கள், பேஸ்ட்ரி சமையல்காரர்கள் மற்றும் மிட்டாய் தயாரிப்பாளர்கள், பிற",7512.9900
hi,"लेस्टर, हाथ",7536.0800
en,Translator,2643.0200
ta,வீட்டு டெலிவரிமேன்,5243.0300
hi,"मार्कर, लॉग",6210.1200
en,Jockey,3421.0200
hi,"ग्राइंडर, क्रैंकशाफ्ट",7224.0200
ta,பிராந்திய விற்பனை மேலாளர் (பயன்படுத்தப்பட்ட வாகனங்கள்),3322.1002
en,Parquetry Floor Layer,7122.0600
en,Khas Thatti Maker,7317.1200
en,"Counsellor, Marriage and Family",2635.1100
ta,ஏற்றுபவர் மற்றும் இறக்குபவர்,9333.0100
en,Cutting Machine Operator (Confectionery),8160.1700
en,Prosthodontist,2261.0500
en,"Architect, Naval",2144.1100
hi,क्षेत्रीय भाग प्रबंधक,3322.0701
ta,"தட்டையான பின்னல், இயந்திரம்/பின்னல் இயந்திர ஆபரேட்டர்-தட்டையான பின்னல்",8152.0600
en,Glass Enameller,7316.0600
hi,"गोल्ड क्यूरर, जनरल/गोल्ड रिफाइनर",7313.0301
hi,"पत्थर पॉलिशर, मशीन",8112.0900
ta,பிரெய்லி தட்டச்சு செய்பவர்,4131.0400
en,"Bricks and Tile Moulder, Hand",7314.0700
hi,"मानव संसाधन अधिकारी/क्षेत्र प्रबंधक, मानव संसाधन",2424.0100
hi,"स्कोरिंगमैन, ऊनी धागा",8154.0300
hi,मशीन प्रचालक/फोटोकॉपीयर की नकल करना,4132.0800
en,"Manpower Officer/Area Manager, Human Resource",2424.0100
ta,பான்மான் (உணவு கேனிங் மற்றும் பாதுகாப்பு),8160.2800
hi,चॉकलेट निर्माता,7512.0800
ta,"பணி உரிமையாளர், குடிநீர் வழங்கல்",1120.0300
hi,"चालक, रेलवे इंजन (भाप)",8311.0200
hi,"भौतिक विज्ञानी, यांत्रिकी",2111.0200
en,"Machineman, Paper, Wet End",3139.0300
en,"Chemist, General",2113.0100
hi,कृषि विस्तार सेवा प्रदाता,6116.0102
en,"Electronic Fitters, Mechanics and Servicers, Other",7421.9900
en,Pharmacologist,2212.1500
hi,स्कूल में आई. टी. समन्वयक,3512.0501
en,Washing Plant Operator,8112.0600
hi,ब्रेक विशेषज्ञ,7231.0105
hi,कैलेंडर रबराइज्ड फैब्रिक/ऑपरेटर टेक्सटाइल कोटिंग,8141.1301
hi,वेल्डिंग तकनीशियन,7212.0302
hi,मिक्सिंग मशीनमैन अटेंडेंट (केमिकल),8131.0400
en,"Developer, Automatic (Photofinishing)",8132.0300
hi,रखरखाव तकनीशियन,3113.0601
ta,ஃபைபர் தொழில்நுட்ப நிபுணர்,2141.1300
en,Sales Consultant (Retail),3322.1303
hi,मोम का टुकड़ा बनाने वाला,7313.2402
ta,விதை பதப்படுத்தும் தொழிலாளி,6130.0202
en,Electrical Design Developer,2151.0202
hi,नैदानिक समाजशास्त्री,2632.0300
ta,"ஃபிட்டர், சிக்னல்",7233.2700
hi,प्रसूति चिकित्सक,2212.1100
ta,உலை இயக்குபவர் (இரும்பு அல்லாத உலோகம்),3135.0900
en,"General Manager, Transport",1324.2100
ta,கிளஸ்டர் மேலாளர்,1330.0701
ta,ஒட்டுதல் தயாரிப்பாளர்,8131.1800
ta,"கண்ணாடி தயாரிப்பாளர்கள், கட்டர்கள், அரைப்பான்கள் மற்றும் ஃபினிஷர்கள், பிற",7315.9900
en,Briefing Assistant,3341.1100
ta,"வழங்கல், விநியோகம் மற்றும் அது தொடர்பான மேலாளர்கள் மற்றும் பொது மேலாளர்கள், பிற",1324.9900
hi,"पत्थर, मशीन",7211.0200
ta,"சாகுபடி செய்பவர், பழம்",6111.0800
en,Mango Growe,6111.1001
ta,வரவுசெலவுத் திட்ட ஆய்வாளர்,2412.0300
en,"Tool Setter, General",7223.0100
en,Mirror Silverer,7316.1100
hi,"लोको चालक, खदानें",8311.0100
hi,रेडियोलॉजी तकनीशियन,3211.0101
hi,प्रबंधक ताप उपचार/धातु विज्ञानी,2146.0501
en,Psychologist,2634.0100
en,"Chemical Processing Plant Controllers, Other",3133.9900
en,Centrifugal Man,8160.4000
en,Padding Machineman/Padding Mangle Operator,8154.2300
ta,"கால்நடை மருத்துவர், அறுவை சிகிச்சை நிபுணர்",2250.0300
ta,இந்திய சொலிசிட்டர் ஜெனரல்,2611.0200
en,Slag Flusher,8121.3300
ta,உள்நாட்டு பயோமெட்ரிக் தரவு ஆபரேட்டர்,3511.0101
ta,டேப்லெட் கோட்டர்,8131.7100
ta,ஷெல் சேகரிப்பாளர்,7541.0400
ta,"மெக்கானிக், எழுதுபொருள் நீராவி இயந்திரம்",7233.1000
hi,रिसर्च एसोसिएट,1223.0201
hi,"प्रचालक, हॉट रोलिंग मिल (अलौह धातु)/मिल प्रचालक",3135.1900
en,"Line Supervisor, Electrical",3122.6000
hi,ब्लेड सॉयर,8189.0405
hi,"पेशकश, फ्लाई फ्रेम/स्पीड फ्रेम ऑपरेटर",8152.0200
hi,"बिजली मिस्त्री, मंच और स्टूडियो",7411.0600
hi,कास्टिंग मशीन ऑपरेटर,8189.0501
en,"Examiner, Wood Working",7543.0500
en,Data Entry Machine Operator,4132.0401
hi,रैडर भेजें,8321.0200
en,"General Manager, Horticulture",1311.0200
hi,व्यवसाय विकास कार्यकारी,2433.0601
en,Auto-Tester Capacitor,7421.1201
en,Mimic,2659.0800
ta,"சரக்கு கையாளுபவர்கள், பிற",9333.9900
en,Shearing and Upcoiler Operator (NonFerrous Metal)/Coil Operator,8121.2300
hi,"जूता बनाने वाला, हाथ",7536.0100
en,"Dialysis Technician Life Science Technicians, Other",3212.9900
ta,"மாற்றுத்திறனாளிகளுக்கான ஆசிரியர், பிற",2352.9900
ta,முன்னணி சுகாதாரப் பணியாளர்,3253.0201
en,"Examiner, Dry Cleaning/Fabric Inspection Operator",7543.0400
ta,உதவி பட்டை பெண்டர் மற்றும் ஃபிக்சர்,7214.1101
hi,"साफ, खिड़की",9122.0100
ta,"உற்பத்தி மேலாளர்கள், பிற",1321.9900
hi,विद्युत तकनीशियन (उच्च वोल्टेज),3113.0200
en,Gemstone Polisher,7313.1506
hi,"मुर्गी पालन फार्म के कर्मचारी, अन्य",6122.9900
ta,எதிர்,9321.1200
en,Regional Retail Finance and Insurance Manage,3322.2101
ta,ரிவெட்டர்,7214.0900
en,Decorator (Ceramics),7316.0800
en,"General Manager, Poultry",1311.0600
en,Blower Operator,3132.1200
hi,"स्थिर इंजन चालक, भाप",3131.0100
en,"Third Engineer, Ship",3151.0300
ta,லினன் கீப்பர்,5151.0500
ta,"இயக்குநர், சேமிப்பு மற்றும் சேமிப்பு",1120.2800
ta,"டிரில்லர், இயந்திரம்",8111.0200
hi,"चित्रकार, इस्पात संरचना",7131.0200
hi,"टेलर, बैंक",4211.0400
hi,"दूरसंचार इंजीनियर, जनरल",2153.0100
en,"Mechanic, Repairman (Domestic Appliances)",7233.2000
ta,பராமரிப்பு தொழில்நுட்ப வல்லுநர் மின்,3113.0102
hi,बाल और परिवार सामाजिक कार्यकर्ता,2635.0500
ta,அளவீட்டாளர் (சிமெண்ட்),8131.2900
en,Regional Dealer Development Manager/Network Expansion Manager,3322.1601
ta,பில் செயலாக்க கிளார்க்,4132.1400
en,Rope Dancer,2659.0100
en,Embossing Machine Setter (Plastic),8142.0900
hi,"पीछे की ओर, रेशम के कीड़े/रेशम उत्पादक",6123.0201
hi,"टाइपिस्ट और वर्ड प्रोसेसिंग ऑपरेटर, अन्य",4131.9900
ta,ஸ்டிங்கி சிகரெட் பிளவுபடுத்தும் இயந்திர ஆபரேட்டர்,8160.8900
en,Plumbing Supervisor,3123.0302
hi,डी डिजाइनर,3115.1200
ta,நிறுவல் இயந்திரவியல்,7422.0100
hi,क्षेत्र भाग प्रबंधक (एपीएम),5222.0101
en,"Tractor Operator, Farm",8341.0101
hi,प्लास्टिक मोल्डिंग दुकान पर्यवेक्षक,3122.2200
ta,"தேர்வு செய்பவர், சணல்",7318.1200
ta,நேரக் காப்பாளர்,4110.0500
hi,फूलों का डिजाइनर,3435.0500
hi,"मैकेनिक, पंप",7233.1300
en,Radar Mechanic,7422.0900
en,Associate – HRO,4416.0101
ta,"மின் தொழில்நுட்ப வல்லுநர்கள், பிற",3113.9900
en,Auto Service Technical Manager/Auto Service Technician,3115.0602
hi,कार्टूनिस्ट,2651.0600
hi,"सेलोफेन बैग निर्माता, मशीन",8143.0300
hi,"संगीत वाद्ययंत्र निर्माता और ट्यूनर, अन्य",7312.9900
ta,சிரப் கலவை ஆலை ஆபரேட்டர்,8160.7800
en,Bamboo Grower,6112.0701
ta,காலெண்டர்மேன் (பருத்தி ஜவுளி),8154.1800
en,Tile Presser (Mosaic),7122.0300
en,Light Motor Vehicle Driver,8322.0501
ta,கிணறு துளையிடும் இயந்திரம் (பெட்ரோலியம் மற்றும் எரிவாயு தவிர),8113.0800
en,"Electrical Engineering, Technician/Maintenance Technician Electrical",3113.0101
hi,कैलिब्रेटर (उपकरण और उपकरण),7311.1000
hi,मोमबत्ती का पत्थर,7318.0200
